Fold,AUC
1,0.66185
2,0.68865
3,0.70287
4,0.71679
5,0.72835
6,0.73833
7,0.74858
8,0.75474
9,0.7588
10,0.76303
11,0.76961
12,0.77326
13,0.77381
14,0.78194
15,0.77972
16,0.78257
17,0.78558
18,0.78749
19,0.78601
20,0.78956
21,0.79066
22,0.79036
23,0.79216
24,0.79415
25,0.65779
26,0.67928
27,0.70212
28,0.71351
29,0.72611
30,0.73261
31,0.74569
32,0.74967
33,0.75366
34,0.75641
35,0.76424
36,0.76842
37,0.76983
38,0.7771
39,0.77921
40,0.78067
41,0.78148
42,0.78509
43,0.78808
44,0.78878
45,0.78885
46,0.78877
47,0.66534
48,0.69595
49,0.71091
50,0.72303
51,0.73222
52,0.74334
53,0.74747
54,0.75595
55,0.76017
56,0.76409
57,0.76964
58,0.77127
59,0.77263
60,0.77918
61,0.78069
62,0.78353
63,0.78511
64,0.78572
65,0.78878
66,0.78825
67,0.65986
68,0.69528
69,0.71222
70,0.72068
71,0.73411
72,0.74242
73,0.75221
74,0.75597
75,0.76123
76,0.76538
77,0.76771
78,0.7741
79,0.77578
80,0.77292
81,0.77855
82,0.7816
83,0.77899
84,0.78591
85,0.78452
86,0.78801
87,0.7857
88,0.66298
89,0.6908
90,0.70785
91,0.72047
92,0.72649
93,0.73571
94,0.74554
95,0.75542
96,0.75646
97,0.75997
98,0.76641
99,0.76929
100,0.7727
